Journal,IF (JCR year 2024),IF (5 yr),H5-index,Publisher,Publishing Model,Subject Area (tags),Aims & Scope,Content Tags,
Journal of Occupational Health Psychology,3.9,6.8,43,American Psychological Association (APA),Hybrid,"public health, mental health",,,
Journal of Patient Safety and Risk Management,0.7,1,16,Sage,Hybrid,"public health, Emergency management",https://journals.sagepub.com/overview-metric/CRI,,
Journal of Policy Analysis and Management,2.4,4.1,44,Wiley,Hybrid,"health policy, policy, pa-policy",,,
Journal of Primary Care and Community Health,2.5,2.7,54,Sage,Open access,"public health, community health",https://journals.sagepub.com/overview-metric/JPC,,
Journal of Public Administration Research and Theory (JPART),6.3,6.9,49,Oxford University Press,Hybrid,"public administration, policy, pa-policy",,,
Journal of Public Health,3.1,3.3,49,Oxford University Press/Springer,Hybrid,public health,https://academic.oup.com/jpubhealth/pages/About,,
Journal of Public Health and Emergency,0.7,,11,AME,Open access,"public health, Emergency management",https://jphe.amegroups.org/about,,
Journal of Public Health Management and Practice,1.9,2.1,35,Lippincott,Hybrid,public health,https://journals.lww.com/jphmp/Pages/aboutthejournal.aspx,,
Journal of Public Health Policy,1.9,2.7,30,Palgrave (Springer),Hybrid,"public health, health policy, pa-policy",https://www.palgrave.com/gp/journal/41271/authors/aims-scope,,
Journal of Public Health Research,1.8,2.1,43,Sage,Open access,public health,https://us.sagepub.com/en-us/nam/journal-of-public-health-research/journal203767#aims-and-scope,,
Journal of Public Mental Health,1.2,1.4,17,Emerald,Hybrid,mental health,https://emeraldgrouppublishing.com/journal/jpmh?id=jpmh,,
Journal of Refugee Studies,1.9,2.7,39,Oxford University Press,Hybrid,international,https://academic.oup.com/jrs/pages/About,,
Journal of Risk and Insurance,1.7,2,25,Wiley,Hybrid,emergency management,https://onlinelibrary.wiley.com/page/journal/15396975/homepage/productinformation.html,,
Journal of Risk and Uncertainty,2.3,2.8,24,Springer,Hybrid,emergency management,https://link.springer.com/journal/11166/aims-and-scope,,
Journal of Risk Research,1.7,2.9,47,Taylor & Francis,Hybrid,emergency management,https://www.tandfonline.com/journals/rjrr20/about-this-journal,,
Journal of Rural Health,2.7,4,45,Wiley,Hybrid,community health,https://onlinelibrary.wiley.com/page/journal/17480361/homepage/productinformation.html,,
Journal of Safety Science and Resilience,3.4,4.5,28,KeAI Publishing,Open access,emergency management,,,
Journal of Seismology and Earthquake Engineering,,,,International Institute of Seismology and Earthquake Engineering,Open access,"environment, emergency management",,,
Journal of Structural Engineering,3.9,4.2,57,ASCE,Hybrid,general science,https://ascelibrary.org/page/jsendh/editorialboard,,
Journal of Student Affairs Research and Practice (Formerly NASPA Journal),0.8,1.3,29,Taylor & Francis (NASPA journal),Hybrid,higher ed,,,
Journal of Trauma and Acute Care Surgery,3.7,3.5,52,Lippincott,Hybrid,emergency medicine,https://journals.lww.com/jtrauma/Pages/aboutthejournal.aspx,,
Journal of Trauma and Dissociation,2.4,3.2,29,Taylor & Francis,Hybrid,mental health,https://www.tandfonline.com/journals/wjtd20/about-this-journal,trauma,
Journal of Trauma Nursing,0.9,1.2,17,Lippincott,Hybrid,emergency medicine,https://journals.lww.com/journaloftraumanursing/Pages/aboutthejournal.aspx,trauma,
Journal of Traumatic Stress,2.3,3.8,45,Wiley,Hybrid,mental health,https://onlinelibrary.wiley.com/page/journal/15736598/homepage/productinformation.html,trauma,
Journal of Veterinary Emergency and Critical Care,1.2,1.3,22,Wiley,Hybrid,veterinary medicine,https://onlinelibrary.wiley.com/page/journal/14764431/homepage/productinformation.html,"animals, pre-vet care",
Journal of Volcanology and Geothermal Research,2.3,2.6,41,Elsevier,Hybrid,environment,,,
Landslides,7,7.5,71,Springer,Hybrid,environment,,,
Local Government Studies,1.9,2.6,34,Taylor & Francis,Hybrid,"government, pa-policy",,,
Morbidity and Mortality Weekly Report (MMWR),17.3,14.1,204,CDC,Open access,public health,,,
Natural Hazards,3.7,4,75,Springer,Hybrid,"environment, emergency management",https://link.springer.com/journal/11069/aims-and-scope,,
Natural Hazards and Earth System Sciences,4.7,4.8,59,Copernicus Publications,Open access,"environment, emergency management",https://natural-hazards-and-earth-system-sciences.net/about/aims_and_scope.html,,
Natural Hazards Research,,,28,KeAI Publishing,Open access,"environment, emergency management",,,
Natural Hazards Review,2.2,2.6,30,ASCE,Hybrid,"environment, emergency management",https://ascelibrary.org/page/nhrefo/editorialboard,,
Nature Climate Change,27.1,32.9,160,Nature Portfolio,Hybrid,environment,,,
npj Natural Hazards,,,,Springer,Open access,"environment, emergency management",,,In the Nature Portfolio Journal (npj) series
One Health,4.5,4.7,55,Elsevier,Open access,epidemiology,,,
Online Journal of Public Health Informatics,1.1,,,JMIR Publications,Open access,public health,,,
Open Access Emergency Medicine,1.5,1.9,26,Dove Medical Press,Open access,emergency medicine,https://www.dovepress.com/aims-and-scope-open-access-emergency-medicine-d39-j47,,
Pan American Journal of Public Health (PAHO),2.2,2.3,53,Pan American Health Organization,Open access,public health,,,
Policy & Politics,3.1,4.6,35,Policy Press (Bristol University),Hybrid,"policy, pa-policy",,,
Policy and Society,6.1,7.3,46,Oxford University Press,Open access,"social policy, policy, pa-policy",,,
Policy Sciences,3.7,4.4,35,Springer,Hybrid,"policy, pa-policy",,,
